,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
39,6,3,[0.14527027 0.34482759 0.42857143 0.28571429 0.375     ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.0777027  0.20689655 0.28571429 0.14285714 0.25      ],0.9631706829982691
40,6,2,[0.14527027 0.34482759 0.42857143 0.28571429 0.375     ],[0.37837838 0.03448276 0.         0.         0.        ],[0.23310811 0.31034483 0.42857143 0.28571429 0.375     ],1.6327386499800292
41,6,1,[0.14527027 0.34482759 0.42857143 0.28571429 0.375     ],[1. 0. 0. 0. 0.],[0.85472973 0.34482759 0.42857143 0.28571429 0.375     ],2.2888430302223406
42,7,0,[0.22297297 0.37931034 0.57142857 0.14285714 0.25      ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.12087087 0.         0.14285714 0.14285714 0.125     ],0.5315851565851566
43,7,5,[0.22297297 0.37931034 0.57142857 0.14285714 0.25      ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.11100386 0.10344828 0.28571429 0.14285714 0.125     ],0.7680235654373584
44,7,3,[0.22297297 0.37931034 0.57142857 0.14285714 0.25      ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.         0.24137931 0.42857143 0.         0.125     ],0.7949507389162561
45,7,4,[0.22297297 0.37931034 0.57142857 0.14285714 0.25      ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.09324324 0.20689655 0.42857143 0.14285714 0.        ],0.8715683663959526
46,7,2,[0.22297297 0.37931034 0.57142857 0.14285714 0.25      ],[0.37837838 0.03448276 0.         0.         0.        ],[0.15540541 0.34482759 0.57142857 0.14285714 0.25      ],1.464518705898016
47,7,1,[0.22297297 0.37931034 0.57142857 0.14285714 0.25      ],[1. 0. 0. 0. 0.],[0.77702703 0.37931034 0.57142857 0.14285714 0.25      ],2.1206230861403275
48,8,2,[0.37837838 0.03448276 0.         0.         0.        ],[0.37837838 0.03448276 0.         0.         0.        ],[0. 0. 0. 0. 0.],0.0
49,8,1,[0.37837838 0.03448276 0.         0.         0.        ],[1. 0. 0. 0. 0.],[0.62162162 0.03448276 0.         0.         0.        ],0.6561043802423112
50,8,3,[0.37837838 0.03448276 0.         0.         0.        ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.15540541 0.10344828 0.14285714 0.14285714 0.125     ],0.6695679669817601
51,8,4,[0.37837838 0.03448276 0.         0.         0.        ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.24864865 0.13793103 0.14285714 0.28571429 0.25      ],1.065151111702836
52,8,5,[0.37837838 0.03448276 0.         0.         0.        ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.26640927 0.24137931 0.28571429 0.28571429 0.375     ],1.4542171481826653
53,8,0,[0.37837838 0.03448276 0.         0.         0.        ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.27627628 0.34482759 0.42857143 0.28571429 0.375     ],1.710389576768887
54,9,0,[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0. 0. 0. 0. 0.],0.0
55,9,5,[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.00986701 0.10344828 0.14285714 0.         0.        ],0.25617242858622163
56,9,4,[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.02762763 0.20689655 0.28571429 0.         0.125     ],0.6452384650660512
57,9,3,[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.12087087 0.24137931 0.28571429 0.14285714 0.25      ],1.040821609787127
58,9,2,[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.37837838 0.03448276 0.         0.         0.        ],[0.27627628 0.34482759 0.42857143 0.28571429 0.375     ],1.710389576768887
59,9,1,[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[1. 0. 0. 0. 0.],[0.8978979  0.37931034 0.42857143 0.28571429 0.375     ],2.3664939570111985
60,10,0,[0.14527027 0.34482759 0.42857143 0.42857143 0.375     ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.04316817 0.03448276 0.         0.14285714 0.        ],0.22050806964600062
61,10,5,[0.14527027 0.34482759 0.42857143 0.42857143 0.375     ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.03330116 0.06896552 0.14285714 0.14285714 0.        ],0.38798096125682335
62,10,4,[0.14527027 0.34482759 0.42857143 0.42857143 0.375     ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.01554054 0.17241379 0.28571429 0.14285714 0.125     ],0.7415257622154174
63,10,3,[0.14527027 0.34482759 0.42857143 0.42857143 0.375     ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.0777027  0.20689655 0.28571429 0.28571429 0.25      ],1.1060278258554121
64,10,2,[0.14527027 0.34482759 0.42857143 0.42857143 0.375     ],[0.37837838 0.03448276 0.         0.         0.        ],[0.23310811 0.31034483 0.42857143 0.42857143 0.375     ],1.7755957928371722
65,10,1,[0.14527027 0.34482759 0.42857143 0.42857143 0.375     ],[1. 0. 0. 0. 0.],[0.85472973 0.34482759 0.42857143 0.42857143 0.375     ],2.4317001730794834
66,11,3,[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0. 0. 0. 0. 0.],0.0
67,11,4,[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.09324324 0.03448276 0.         0.14285714 0.125     ],0.39558314472107575
68,11,2,[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.37837838 0.03448276 0.         0.         0.        ],[0.15540541 0.10344828 0.14285714 0.14285714 0.125     ],0.6695679669817601
69,11,5,[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.11100386 0.13793103 0.14285714 0.14285714 0.25      ],0.7846491812009053
70,11,0,[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.12087087 0.24137931 0.28571429 0.14285714 0.25      ],1.040821609787127
71,11,1,[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[1. 0. 0. 0. 0.],[0.77702703 0.13793103 0.14285714 0.14285714 0.125     ],1.3256723472240712
72,12,5,[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0. 0. 0. 0. 0.],0.0
73,12,0,[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.00986701 0.10344828 0.14285714 0.         0.        ],0.25617242858622163
74,12,4,[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.01776062 0.10344828 0.14285714 0.         0.125     ],0.38906603647982957
75,12,3,[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.11100386 0.13793103 0.14285714 0.14285714 0.25      ],0.7846491812009053
76,12,2,[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.37837838 0.03448276 0.         0.         0.        ],[0.26640927 0.24137931 0.28571429 0.28571429 0.375     ],1.4542171481826653
77,12,1,[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[1. 0. 0. 0. 0.],[0.88803089 0.27586207 0.28571429 0.28571429 0.375     ],2.1103215284249766
78,13,0,[0. 1. 1. 1. 1.],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.1021021  0.62068966 0.57142857 0.71428571 0.625     ],2.6335060429888015
79,13,5,[0. 1. 1. 1. 1.],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.11196911 0.72413793 0.71428571 0.71428571 0.625     ],2.8896784715750234
80,13,4,[0. 1. 1. 1. 1.],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.12972973 0.82758621 0.85714286 0.71428571 0.75      ],3.278744508054853
81,13,3,[0. 1. 1. 1. 1.],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.22297297 0.86206897 0.85714286 0.85714286 0.875     ],3.6743276527759288
82,13,2,[0. 1. 1. 1. 1.],[0.37837838 0.03448276 0.         0.         0.        ],[0.37837838 0.96551724 1.         1.         1.        ],4.343895619757689
83,13,1,[0. 1. 1. 1. 1.],[1. 0. 0. 0. 0.],[1. 1. 1. 1. 1.],5.0
